rank,depth,train_auroc_mean,train_auroc_sd,test_auroc_mean,test_auroc_sd,train_ap_mean,test_ap_mean,n,gap_auroc,train_auroc_sem,test_auroc_sem
Genus,1,0.9352829548068767,0.04029004727143303,0.8786389112033235,0.03421957281601471,0.6460195082177861,0.37547011483517834,35,0.0566,0.0068,0.0058
Genus,2,0.9057501714844722,0.08729602345736534,0.8598491823233831,0.0702579894272861,0.5682145122673855,0.34136346887089025,35,0.0459,0.0148,0.0119
Genus,3,0.8876455496769353,0.1418865731863716,0.836500800541937,0.1278816746459663,0.5771904934386123,0.3244464629662878,35,0.0511,0.024,0.0216
Species,1,0.7790738410809415,0.09850050378725939,0.6526886789780375,0.04265810045435922,0.2758518898820846,0.1043002766917997,35,0.1264,0.0166,0.0072
Species,2,0.7616889887361599,0.11714814990301607,0.6398113821737186,0.05797430553478562,0.2542951853424983,0.09867584949199036,35,0.1219,0.0198,0.0098
Species,3,0.7813369920631001,0.10571470359257265,0.6463395575767559,0.05467607360845491,0.27056377990937586,0.09903901027969704,35,0.135,0.0179,0.0092
