rank,fold,test_n,test_pos,prevalence,model,seed,auroc,ap,repeat_seed
Species,0,5468,317,0.057973664959765914,mean_nll,-1,0.4995272119529637,0.05556752842458994,42
Species,0,5468,317,0.057973664959765914,std_nll,-1,0.5986501043869463,0.0877165015426385,42
Species,0,5468,317,0.057973664959765914,logistic_profile,-1,0.5974130164918514,0.07799012756700954,42
Species,1,5473,317,0.05792070162616481,mean_nll,-1,0.48095141368483135,0.05146072221809369,42
Species,1,5473,317,0.05792070162616481,std_nll,-1,0.57404683649321,0.08186506470655523,42
Species,1,5473,317,0.05792070162616481,logistic_profile,-1,0.6123930222484355,0.08787244094222993,42
Species,2,5493,318,0.05789186237028946,mean_nll,-1,0.49400783884787164,0.05198909312644219,42
Species,2,5493,318,0.05789186237028946,std_nll,-1,0.5983343967429283,0.08613705689862286,42
Species,2,5493,318,0.05789186237028946,logistic_profile,-1,0.600123963175645,0.08255591576504664,42
Species,3,5500,320,0.05818181818181818,mean_nll,-1,0.4768602195945945,0.05076190612513684,42
Species,3,5500,320,0.05818181818181818,std_nll,-1,0.59558458011583,0.0914887200407004,42
Species,3,5500,320,0.05818181818181818,logistic_profile,-1,0.5927328667953669,0.07920197112952582,42
Species,4,5306,310,0.058424425179042595,mean_nll,-1,0.4794958547483148,0.05186670258714282,42
Species,4,5306,310,0.058424425179042595,std_nll,-1,0.5643430873731243,0.07388373050804113,42
Species,4,5306,310,0.058424425179042595,logistic_profile,-1,0.6206739585216561,0.08593244701421696,42
Genus,0,5471,320,0.058490221166148784,mean_nll,-1,0.7564071296835567,0.1237219095000641,42
Genus,0,5471,320,0.058490221166148784,std_nll,-1,0.7592761114346729,0.21307471185146065,42
Genus,0,5471,320,0.058490221166148784,logistic_profile,-1,0.8142624005047564,0.29988416856639,42
Genus,1,5476,320,0.05843681519357195,mean_nll,-1,0.7256103326221877,0.1176825226338903,42
Genus,1,5476,320,0.05843681519357195,std_nll,-1,0.7607371872575639,0.2511272900415095,42
Genus,1,5476,320,0.05843681519357195,logistic_profile,-1,0.7734678044996122,0.1514802797718796,42
Genus,2,5495,320,0.05823475887170155,mean_nll,-1,0.7539444444444444,0.1141524083820714,42
Genus,2,5495,320,0.05823475887170155,std_nll,-1,0.7581316425120773,0.20279571297730872,42
Genus,2,5495,320,0.05823475887170155,logistic_profile,-1,0.8054184782608695,0.33654039763160387,42
Genus,3,5500,320,0.05818181818181818,mean_nll,-1,0.7253535231660232,0.11439364683383556,42
Genus,3,5500,320,0.05818181818181818,std_nll,-1,0.7775832528957529,0.26476293822990776,42
Genus,3,5500,320,0.05818181818181818,logistic_profile,-1,0.7823515926640926,0.2370585417297423,42
Genus,4,5306,310,0.058424425179042595,mean_nll,-1,0.7322600015496268,0.12596561177656435,42
Genus,4,5306,310,0.058424425179042595,std_nll,-1,0.7220705596735453,0.1851072700894581,42
Genus,4,5306,310,0.058424425179042595,logistic_profile,-1,0.7763165371006482,0.2952119395083615,42
Family,0,5471,320,0.058490221166148784,mean_nll,-1,0.8801664725296059,0.2736932434308141,42
Family,0,5471,320,0.058490221166148784,std_nll,-1,0.7409498762376238,0.24821492597420972,42
Family,0,5471,320,0.058490221166148784,logistic_profile,-1,0.9255065763929334,0.553093003744387,42
Family,1,5476,320,0.05843681519357195,mean_nll,-1,0.8543971828937161,0.27335894963336926,42
Family,1,5476,320,0.05843681519357195,std_nll,-1,0.6769716107447634,0.1994701370182746,42
Family,1,5476,320,0.05843681519357195,logistic_profile,-1,0.8790498933281613,0.2762161629325559,42
Family,2,5495,320,0.05823475887170155,mean_nll,-1,0.9079830917874396,0.37944044612398203,42
Family,2,5495,320,0.05823475887170155,std_nll,-1,0.7513037439613527,0.2164455369745845,42
Family,2,5495,320,0.05823475887170155,logistic_profile,-1,0.9368907004830918,0.6968402327330488,42
Family,3,5500,320,0.05818181818181818,mean_nll,-1,0.868549107142857,0.31126830323065136,42
Family,3,5500,320,0.05818181818181818,std_nll,-1,0.7065739623552123,0.20961822944537112,42
Family,3,5500,320,0.05818181818181818,logistic_profile,-1,0.9164750241312742,0.546282283166716,42
Family,4,5306,310,0.058424425179042595,mean_nll,-1,0.8877185619463311,0.3766573173709181,42
Family,4,5306,310,0.058424425179042595,std_nll,-1,0.6844643456700844,0.17421024993235046,42
Family,4,5306,310,0.058424425179042595,logistic_profile,-1,0.9144128205790438,0.6254681590359739,42
Order,0,5471,320,0.058490221166148784,mean_nll,-1,0.9433071248301301,0.49838728657615544,42
Order,0,5471,320,0.058490221166148784,std_nll,-1,0.6017875776548243,0.17352682251246543,42
Order,0,5471,320,0.058490221166148784,logistic_profile,-1,0.9753033391574452,0.8331412208028252,42
Order,1,5476,320,0.05843681519357195,mean_nll,-1,0.9402522546547711,0.5151095659677041,42
Order,1,5476,320,0.05843681519357195,std_nll,-1,0.5763930978471684,0.13609502072854907,42
Order,1,5476,320,0.05843681519357195,logistic_profile,-1,0.9470259164080683,0.4642749934814794,42
Order,2,5495,320,0.05823475887170155,mean_nll,-1,0.9643115942028986,0.6640371525999029,42
Order,2,5495,320,0.05823475887170155,std_nll,-1,0.6213683574879227,0.1301238827650913,42
Order,2,5495,320,0.05823475887170155,logistic_profile,-1,0.9809903381642513,0.8740604866205034,42
Order,3,5500,320,0.05818181818181818,mean_nll,-1,0.9404744811776061,0.5932209699508273,42
Order,3,5500,320,0.05818181818181818,std_nll,-1,0.5681503378378379,0.15146959174889926,42
Order,3,5500,320,0.05818181818181818,logistic_profile,-1,0.9646332046332047,0.78974832494859,42
Order,4,5306,310,0.058424425179042595,mean_nll,-1,0.9475444872026654,0.6593070542507586,42
Order,4,5306,310,0.058424425179042595,std_nll,-1,0.524779501020171,0.10560088595602715,42
Order,4,5306,310,0.058424425179042595,logistic_profile,-1,0.9627263100803222,0.7771108513463417,42
Phylum,0,5471,320,0.058490221166148784,mean_nll,-1,0.9862933168316831,0.8297037382216507,42
Phylum,0,5471,320,0.058490221166148784,std_nll,-1,0.3174553484760241,0.04970028755283549,42
Phylum,0,5471,320,0.058490221166148784,logistic_profile,-1,0.9961008784701999,0.961549202121707,42
Phylum,1,5476,320,0.05843681519357195,mean_nll,-1,0.9893067542668735,0.8631010502946985,42
Phylum,1,5476,320,0.05843681519357195,std_nll,-1,0.26108841640806824,0.037902774618005994,42
Phylum,1,5476,320,0.05843681519357195,logistic_profile,-1,0.982955234193173,0.7350510997072216,42
Phylum,2,5495,320,0.05823475887170155,mean_nll,-1,0.9954873188405797,0.9431685946092495,42
Phylum,2,5495,320,0.05823475887170155,std_nll,-1,0.2981914251207729,0.041343435644703545,42
Phylum,2,5495,320,0.05823475887170155,logistic_profile,-1,0.9981920289855073,0.9725372904368064,42
Phylum,3,5500,320,0.05818181818181818,mean_nll,-1,0.9923920125482626,0.9124862994861871,42
Phylum,3,5500,320,0.05818181818181818,std_nll,-1,0.2803444739382239,0.04397767988983155,42
Phylum,3,5500,320,0.05818181818181818,logistic_profile,-1,0.9946862934362936,0.9563447345171399,42
Phylum,4,5306,310,0.058424425179042595,mean_nll,-1,0.994226994498825,0.9412739140702123,42
Phylum,4,5306,310,0.058424425179042595,std_nll,-1,0.23234200263436558,0.03655405363104336,42
